Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Y
34.5,30.2,32.35,0,87.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
33.8,26.5,30.15,4.8,69.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
32.2,27.8,30,0,73.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
31.5,28.2,29.85,0,72,0,3,0,0,0,1,2,0,0,0,1,2,0,0,13
32.2,28.7,30.45,0,75.5,0,3,0,0,4,0,3,0,0,0,0,0,0,0,9
33.2,26.5,29.85,1.6,83.5,0,2,0,0,3,0,2,0,1,0,1,1,0,0,7
30.8,25.2,28,32.8,85,0,0,0,0,0,0,2,0,0,0,7,0,0,0,5
29.3,25.2,27.25,43.5,93.5,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7
27.5,25.5,26.5,29.5,93.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
27.2,25.5,26.35,78,93,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0
27.5,24.7,26.1,50,93,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3
27.2,24.8,26,7,89.5,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2
30.2,25.5,27.85,2,83.5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3
30.2,24.8,27.5,21.5,89,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2
28.5,23.2,25.85,40,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.8,24.5,26.15,0,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.3,27.8,29.05,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.6,27.8,30.2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.2,26.8,30,1.4,81,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2
33.4,30.5,31.95,0,74,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3
33.5,29.8,31.65,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.2,28.4,31.3,0,89.5,0,0,0,0,0,1,1,0,0,0,2,0,0,0,5
27.5,24.5,26,20.5,87.5,0,0,0,0,0,2,3,0,1,0,4,1,0,0,2
29.5,24.2,26.85,72.7,90,0,0,0,0,0,2,2,0,0,0,2,0,0,0,3
29.5,24.5,27,41.7,85.5,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1
29.2,25.3,27.25,0,77.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
30.5,25.8,28.15,1.2,85.5,0,0,0,2,0,1,0,0,0,0,0,1,0,0,3
30.2,27.8,29,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
31.5,27.8,29.65,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
30.5,28.2,29.35,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
32.5,27.8,30.15,1.5,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
31.2,28.5,29.85,21.2,78.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
31.2,29.5,30.35,0,78.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
32.2,30.8,31.5,0,71.5,0,1,0,0,2,0,2,1,0,0,4,1,0,0,5
32.5,31.5,32,2.5,72,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1
33.2,31.2,32.2,4,72.5,0,1,0,0,1,0,2,0,0,1,1,0,0,0,2
34.5,31.5,33,0,68,0,2,0,0,0,1,1,0,0,0,3,1,0,0,3
34.2,29.8,32,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33.8,24.8,29.3,2,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.2,25.5,28.35,7.5,82.5,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2
33.5,30.5,32,0,81,2,0,0,0,1,0,1,0,0,2,1,0,0,0,2
32.8,30.2,31.5,24.7,76.5,1,1,0,0,3,0,2,0,0,1,1,0,0,0,3
34.5,31.8,33.15,0,70,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
35.8,24.5,30.15,89.5,78,2,0,0,0,2,0,2,0,0,0,1,0,0,0,1
31.2,25.8,28.5,0,87,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2
30.2,27.2,28.7,4.2,85.5,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2
30.2,27.8,29,3.5,87.5,0,0,0,0,0,2,1,0,0,0,2,0,0,0,3
30.5,27.8,29.15,3.5,80.5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
32.5,28.4,30.45,0,78.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
31.8,27.8,29.8,1,75.5,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2
32.5,28.2,30.35,0,77,0,5,0,0,4,1,0,0,0,0,1,0,0,0,3
33.4,28.5,30.95,0,74.5,0,3,0,0,2,0,1,0,0,0,0,0,0,0,2
34.2,30.6,32.4,0,70,0,4,1,0,5,0,1,0,0,4,1,0,0,2,3
31.2,28.6,29.9,1,84.5,1,2,0,0,1,0,2,0,0,1,0,0,0,3,1
30.6,27.4,29,4,80.5,1,1,0,0,0,0,1,0,0,0,0,0,0,5,2
30.2,28.4,29.3,14.4,77,0,1,0,0,3,0,0,0,0,0,0,0,0,9,3
32.8,31.2,32,0,75.5,2,3,0,0,4,0,2,1,0,2,0,0,0,15,1
33.5,28.8,31.15,0,72,1,5,1,0,3,0,4,0,0,6,2,0,0,13,5
33.8,28.8,31.3,0,77.5,0,2,0,0,2,0,2,0,0,2,1,0,0,0,3
33.8,24.6,29.2,68.2,82.5,0,2,0,0,4,0,0,0,0,3,0,0,0,0,2
33.5,30.5,32,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.8,28.5,31.15,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.8,25.5,28.15,2.7,76,2,1,1,0,3,0,2,0,0,2,1,1,0,0,3
34.8,28.7,31.75,0,79,1,2,0,0,5,1,4,0,0,3,0,1,0,0,2
33.5,27.3,30.4,2.2,79,4,3,2,0,6,0,2,0,0,1,0,0,0,0,4
32.8,27.2,30,0,84,3,1,0,0,2,1,3,0,0,4,0,0,0,0,3
31.2,30.5,30.85,0,79,3,1,4,0,3,0,2,0,0,3,0,0,0,0,2
32.8,30.8,31.8,0,77,4,3,0,0,7,0,4,0,0,7,0,0,0,0,4
32.5,29.5,31,0,78,2,2,1,0,11,1,3,0,0,5,2,0,0,0,6
31.8,28.5,30.15,0,82,0,1,0,0,7,0,1,0,1,9,0,0,0,0,4
30.5,29.5,30,7.8,83.5,0,0,2,0,5,0,2,0,0,3,1,0,0,0,2
30.8,29.3,30.05,6.5,87,1,2,3,0,4,0,3,0,0,1,1,0,0,0,3
30.8,28.2,29.5,1,84,3,3,2,0,9,0,2,0,0,4,1,0,0,0,5
31.3,26.5,28.9,0,87,2,4,4,0,3,0,1,0,0,3,0,0,0,0,2
29.5,25.8,27.65,14,87,1,2,2,0,6,0,3,0,0,3,0,0,0,0,4
30.5,25.5,28,0,82,2,1,1,0,4,1,2,0,0,2,2,0,0,0,2
32.8,25.5,29.15,48,91,3,1,0,0,3,0,1,0,0,4,0,0,0,0,1
30.5,25.3,27.9,18.8,91,1,2,0,0,7,1,3,0,0,0,0,0,0,0,3
25.8,23.5,24.65,122,87.5,0,3,2,0,9,1,2,1,1,5,1,0,0,0,5
30.2,24.3,27.25,0,75,2,4,3,0,13,1,4,0,1,9,1,0,0,0,7
31.5,31.2,31.35,0,75.5,3,4,5,0,17,0,2,0,0,7,0,0,0,0,9
34.5,31.8,33.15,0,85.5,2,2,4,0,14,0,1,0,1,5,0,0,0,0,5
33.8,30.6,32.2,2.3,75.5,5,3,3,0,9,0,3,0,0,3,0,0,0,0,6
33.5,30.3,31.9,0,89.5,2,1,1,0,6,0,0,0,0,4,0,0,0,0,9
31.8,22.8,27.3,16.3,89,0,0,2,0,4,0,0,0,0,3,0,0,0,0,4
28.2,23.8,26,28,91,0,0,0,0,3,0,1,1,0,3,0,0,0,0,3
26.2,23.8,25,23.2,91,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
26.8,23.8,25.3,4.2,82,0,2,3,0,5,0,2,0,0,4,0,0,0,0,5
30.2,24.2,27.2,0,85,0,1,3,0,4,0,1,0,0,0,0,0,0,0,5
30.2,24.2,27.2,0,89,0,1,2,0,6,0,2,0,0,1,0,0,0,0,7
26.5,22.8,24.65,10.7,93,0,0,2,0,9,0,1,0,0,3,0,0,0,0,9
24.5,22.2,23.35,38.5,92.5,0,0,3,0,8,0,2,0,0,4,0,0,0,0,11
23.2,22.6,22.9,80.3,93,4,0,4,0,4,0,0,0,0,0,0,0,0,0,5
26.2,23.8,25,0,83.5,2,0,11,0,7,0,0,0,0,0,0,0,0,0,7
30.4,24.2,27.3,0,76.5,5,0,15,0,11,0,0,1,0,7,0,0,0,0,23
31.5,29.2,30.35,0,76.5,3,0,13,0,9,0,0,0,0,10,0,0,0,4,15
32.2,27.8,30,0,80.5,5,0,9,0,7,0,0,0,0,8,0,0,0,6,11
32.2,24.5,28.35,15,85.5,2,0,10,0,14,0,0,2,0,11,0,0,0,9,13
31.2,28.8,30,0,83.5,3,1,4,0,13,0,0,0,0,6,0,0,0,7,19
30.8,22.8,26.8,32,90.5,2,0,3,0,9,0,0,0,0,3,0,0,0,0,6
25.8,22.5,24.15,13.5,87,2,0,2,0,5,0,0,0,0,2,0,0,0,0,5
27.5,23.5,25.5,0,71.5,3,1,7,0,3,0,0,2,0,2,0,0,0,0,7
31.5,23.8,27.65,0,81.5,1,0,3,0,4,0,1,0,0,3,0,0,0,0,4
30.8,23.5,27.15,0,73,2,1,4,0,6,0,0,0,0,5,0,0,0,0,6
30.8,23.5,27.15,0,70.5,2,0,6,0,7,0,0,2,0,8,0,0,0,0,13
30.3,24.8,27.55,0,71,9,0,5,0,15,0,0,0,0,0,0,0,0,0,17
30.5,22.6,26.55,0,76.5,5,0,7,0,9,0,0,0,0,0,0,0,0,0,5
31.3,25.5,28.4,0,75,7,3,9,27,19,0,3,2,0,0,0,0,0,9,15
30.5,24.5,27.5,0,80,9,2,13,38,35,0,2,0,0,0,0,0,0,5,27
31.2,23.6,27.4,0,73,5,3,7,23,15,0,0,0,0,7,0,0,0,3,13
31.5,23.5,27.5,0,77,7,2,6,41,21,0,0,0,0,9,0,0,0,4,17
32.2,24.2,28.2,0,72.5,9,1,3,25,23,0,2,0,0,5,0,0,0,7,15
30.5,24.2,27.35,0,87,17,3,7,36,37,0,3,2,0,7,0,0,0,13,18
27.2,23.8,25.5,0,79.5,14,2,5,29,27,0,1,1,0,9,0,0,0,9,27
29.3,20.5,24.9,0,77,8,0,3,33,19,0,0,0,0,6,0,0,0,5,17
27.5,24.2,25.85,1,88,4,0,3,41,11,0,0,0,0,4,0,0,0,3,13
23.8,19.8,21.8,18,92.5,2,0,4,44,8,0,1,0,0,4,0,0,0,2,9
22.2,19.5,20.85,22,85.5,4,2,3,47,7,0,2,0,0,6,0,0,0,0,7
23.8,20.8,22.3,0,80,7,2,2,42,15,0,1,0,0,9,0,0,0,0,11
28.3,20.5,24.4,0,77,10,3,4,53,21,0,2,0,0,12,0,0,0,0,8
27.5,23.6,25.55,0,73,8,0,6,57,32,0,1,0,0,9,0,0,0,0,5
30.2,23.2,26.7,0,75.5,11,0,2,62,27,0,2,0,0,7,0,0,0,0,7
29.5,23.3,26.4,0,79.5,7,0,5,71,48,0,3,0,0,11,0,0,0,0,13
30.8,23.2,27,0,74,48,2,5,88,121,0,2,2,0,15,0,0,0,0,7
30.2,20.8,25.5,0,71,53,1,9,72,133,0,3,3,0,19,0,0,0,0,10
29.5,24.5,27,0,71.5,37,3,0,105,76,0,1,2,0,9,0,0,0,0,5
31.2,21.2,26.2,0,75,23,1,2,92,86,0,0,0,0,7,0,0,0,0,3
30.5,21.2,25.85,0,75.5,27,2,3,107,88,0,2,1,0,6,0,0,0,1,3
30.5,20.2,25.35,0,82,21,1,1,125,73,0,0,0,0,4,0,0,0,0,5
27.5,21.2,24.35,0,76,17,1,1,129,62,0,1,1,0,8,0,0,0,0,4
27.5,23.8,25.65,0,76,11,2,2,215,78,0,0,0,0,7,0,0,0,2,7
29.5,24.2,26.85,0,82.5,7,1,0,275,41,0,1,0,0,3,0,0,0,0,5
28.3,23.5,25.9,0,83.5,4,0,0,185,31,0,2,0,0,5,0,0,0,3,3
24.8,23.8,24.3,0,72.5,2,2,1,729,75,0,4,0,0,3,0,0,0,2,4
28.2,23.8,26,0,77,3,4,2,1725,107,0,8,0,0,6,0,0,0,1,9
29.5,24.5,27,0,75,4,7,1,1507,227,0,11,1,0,5,0,0,0,2,2
29.5,25.5,27.5,0,72,7,4,3,2122,89,0,8,0,0,6,0,0,0,2,3
30.2,24.2,27.2,0,73.5,4,3,1,2328,62,0,7,1,0,8,0,0,0,3,2
30.5,23.8,27.15,0,69.5,3,2,2,1922,51,1,11,1,0,5,0,0,0,2,3
29.8,21.2,25.5,0,71,1,9,3,2724,285,0,9,0,0,4,0,0,0,4,5
29.2,18.2,23.7,0,69.5,2,6,7,3225,267,0,13,2,0,15,0,0,0,5,11
28.8,17.5,23.15,0,69,4,8,2,4421,189,0,4,3,0,13,0,0,0,2,8
28.2,14.8,21.5,0,66.5,3,4,2,3128,58,0,6,0,0,7,0,0,0,1,5
28.5,16.8,22.65,0,67.5,2,3,1,3327,86,0,2,1,0,6,0,0,0,2,7
28.3,15.5,21.9,0,70.5,5,6,4,2527,79,0,5,0,0,5,0,0,0,3,10
28.8,16.3,22.55,0,71.5,3,4,3,2118,89,0,3,0,0,4,0,0,0,2,4
28.5,16.5,22.5,0,70.5,4,2,2,1907,66,1,2,0,0,7,0,0,0,4,6
27.8,16.8,22.3,0,79.5,6,5,3,2017,62,0,4,0,0,3,0,0,0,5,7
25.5,16.5,21,0,72,9,2,4,1601,57,0,6,0,0,5,0,0,0,6,9
28.5,17.2,22.85,0,70,4,4,3,1632,47,2,5,0,0,4,0,0,0,4,5
27.8,16.5,22.15,0,68.5,3,3,4,1527,40,0,2,0,0,6,0,0,0,3,3
28.8,15.8,22.3,0,70.5,6,2,3,1511,38,0,3,0,0,7,0,0,0,2,4
28.8,15.8,22.3,0,70,2,4,4,1408,36,0,0,0,0,4,0,0,0,3,6
28.5,13.8,21.15,0,63.5,0,3,4,1027,29,1,3,3,0,0,0,0,0,3,4
26.8,12.7,19.75,0,73.5,0,2,4,825,25,0,3,5,0,0,0,0,0,2,2
25.5,13.5,19.5,0,73.5,0,4,2,627,17,0,2,2,0,0,0,0,0,3,3
25.5,13.5,19.5,0,64.5,0,2,3,615,18,0,3,2,0,0,0,0,0,0,2
26.5,13.3,19.9,0,68,0,1,2,517,14,0,4,3,0,0,0,0,0,0,3
